order_id,order_date,customer_id,store_id,region,order_amount,order_status
135,2025-12-14,C1999,S594,North,,approved
136,2025-11-13,C1164,S204,South,2747.0,
137,2025-09-28,C439,S558,,4696.0,Approved
138,2025-06-02,C531,S146,North,,Approved
139,2025-11-19,C2078,S450,West,-100.0,Approved
140,2025-05-24,C966,S247,West,2861.0,approved
141,2025-04-14,C1769,S165,,,approved
142,2025-10-30,C390,S240,East,3669.0,PENDING
143,2025-02-17,C951,S246,East,,
144,2025-03-17,C645,S399,South,,PENDING
145,2025-12-23,C408,S345,South,-100.0,approved
146,2025-07-10,C522,S15,West,-100.0,Approved
147,2025-09-12,C1446,S568,,-100.0,Approved
148,2025-11-05,C938,S557,North,,Approved
149,2025-02-26,C1700,S233,East,,PENDING
150,2025-01-31,C1051,S329,East,,Pending
151,2025-06-20,C1315,S542,East,,
152,2025-05-19,C1103,S385,West,3253.0,
153,2025-01-21,C2961,S477,West,4239.0,approved
154,2025-03-29,C1910,S397,North,,Cancelled
155,2025-06-29,C2223,S338,North,-100.0,approved
156,2025-10-14,C2740,S160,East,,approved
157,2025-07-03,C5,S503,West,3449.0,PENDING
158,2025-01-31,C809,S401,South,756.0,PENDING
159,2025-09-19,C299,S401,,-100.0,approved
160,2025-11-22,C538,S398,East,4241.0,Approved
161,2025-01-19,C2198,S325,West,-100.0,Approved
162,2025-12-26,C256,S587,South,-100.0,Approved
163,2025-09-03,C1987,S172,West,-100.0,Approved
164,2025-03-11,C729,S522,East,,Pending
165,2025-07-18,C506,S490,North,-100.0,
166,2025-04-12,C1969,S374,North,1494.0,Pending
167,2025-01-18,C2261,S304,North,3371.0,
168,2025-07-11,C1972,S486,South,4601.0,
169,2025-11-16,C2894,S80,West,,
170,2025-08-28,C1357,S427,North,-100.0,approved
171,2025-02-18,C846,S188,North,634.0,Cancelled
172,2025-04-20,C2022,S564,South,,PENDING
173,2025-06-06,C1159,S306,South,,Approved
174,2025-11-23,C2915,S57,North,,
175,2025-07-17,C211,S83,West,,Cancelled
176,2025-06-05,C1496,S526,West,4744.0,Pending
177,2025-05-22,C1598,S554,South,3720.0,Cancelled
178,2025-01-28,C1088,S463,South,-100.0,PENDING
179,2025-03-06,C1651,S36,South,3612.0,Cancelled
180,2025-01-18,C300,S344,North,2919.0,PENDING
180,2025-04-17,C1008,S454,,-100.0,
182,2025-04-04,C1916,S155,North,-100.0,approved
183,2025-10-28,C365,S67,North,,Approved
184,2026-01-01,C763,S313,,,Cancelled
185,2025-04-24,C353,S294,,-100.0,
186,2025-03-08,C2422,S246,West,,Approved
187,2025-07-21,C1567,S502,North,-100.0,
188,2025-02-26,C1653,S289,North,,PENDING
189,2025-01-05,C2381,S110,,3639.0,
190,2025-03-30,C1819,S86,,4588.0,approved
191,2025-08-27,C2614,S173,,4733.0,approved
192,2025-06-29,C1666,S241,North,2559.0,Cancelled
193,2025-06-19,C1411,S476,South,,Cancelled
194,2025-03-25,C2025,S30,East,,Cancelled
195,2025-06-22,C76,S78,South,-100.0,Cancelled
196,2025-04-10,C1114,S332,,,Approved
197,2025-02-03,C1970,S438,,-100.0,Approved
198,2025-08-20,C575,S302,East,-100.0,
199,2025-10-07,C619,S136,South,-100.0,
200,2025-11-23,C2075,S418,,654.0,
201,2025-10-15,C2041,S28,North,3711.0,Cancelled
202,2025-04-23,C2018,S471,North,,Pending
203,2025-01-18,C824,S193,South,-100.0,Approved
204,invalid_date,C633,S152,West,1980.0,Approved
205,2025-02-16,C852,S452,North,3064.0,Pending
206,2025-05-06,C2453,S153,West,,Cancelled
207,2025-09-29,C1915,S79,West,846.0,PENDING
208,2025-08-26,C2455,S132,South,,approved
209,2025-08-01,C1427,S142,,-100.0,Cancelled
210,2025-05-15,C1560,S242,South,-100.0,Cancelled
211,2025-07-07,C1074,S354,East,563.0,Approved
212,2025-09-02,C841,S58,South,-100.0,PENDING
213,2025-05-25,C2397,S19,West,3729.0,Cancelled
214,2025-01-04,C2920,S524,,,Approved
215,2025-03-27,C1801,S375,North,,Approved
216,2025-12-06,C1556,S154,,-100.0,
217,2025-01-01,C105,S546,North,-100.0,Pending
218,2025-03-04,C2281,S436,South,,Cancelled
219,2025-04-10,C1733,S442,North,-100.0,approved
220,2025-10-08,C2727,S264,South,532.0,approved
221,2025-10-10,C2008,S237,North,2445.0,
222,2025-01-23,C1113,S197,,,Approved
223,2025-10-20,C370,S133,East,2279.0,
224,2025-08-02,C2264,S462,East,-100.0,PENDING
225,2025-02-21,C1815,S106,,-100.0,approved
226,2025-04-28,C2587,S60,North,1021.0,Pending
227,2025-10-29,C208,S68,North,,Cancelled
228,2025-03-04,C1936,S77,East,1062.0,approved
229,2025-04-24,C1656,S590,South,-100.0,Pending
230,2025-03-17,C72,S153,South,-100.0,PENDING
231,2025-08-01,C2566,S19,West,,approved
232,2025-12-08,C336,S380,North,-100.0,PENDING
233,2025-06-06,C2309,S543,,,
234,2025-05-12,C481,S572,North,3527.0,
235,2025-01-18,C2582,S242,,,Approved
236,2025-02-01,C1589,S539,South,-100.0,Approved
237,2025-02-25,C2142,S360,East,-100.0,PENDING
238,2025-07-15,C159,S105,,3550.0,
239,2025-11-12,C2668,S366,,,Cancelled
240,2025-11-28,C1172,S233,North,-100.0,Cancelled
241,2025-02-02,C2328,S343,East,1007.0,Cancelled
241,2025-01-12,C791,S239,South,1776.0,Pending
243,2025-04-17,C1276,S547,,3931.0,Approved
244,2025-01-30,C1281,S331,West,-100.0,
245,2025-05-13,C1787,S3,,,approved
246,2025-05-26,C131,S176,East,1373.0,PENDING
247,2025-09-27,C1186,S179,West,1004.0,PENDING
248,2025-11-02,C2811,S198,North,2275.0,Pending
249,2025-09-04,C1069,S516,West,-100.0,PENDING
250,2025-05-26,C600,S543,West,,
251,2025-09-05,C672,S68,,2787.0,Cancelled
252,2025-02-06,C321,S65,,699.0,Approved
253,2025-04-29,C2341,S27,West,1012.0,Cancelled
254,2025-12-23,C134,S402,,-100.0,PENDING
255,2025-11-30,C142,S45,North,2535.0,Cancelled
256,2025-06-27,C1758,S62,,,Approved
257,2025-08-04,C2475,S417,North,4156.0,Approved
258,2025-01-04,C2475,S440,South,-100.0,Approved
259,2025-11-29,C2053,S470,East,-100.0,
260,invalid_date,C390,S182,South,-100.0,Approved
261,2025-11-09,C1543,S597,,,PENDING
262,2025-10-31,C1105,S334,North,-100.0,approved
263,2025-01-20,C1422,S478,East,3305.0,Approved
264,2025-05-06,C1089,S10,West,,Cancelled
265,2025-05-02,C2091,S127,,,Approved
266,2025-11-12,C2573,S54,West,,PENDING
267,2025-09-21,C401,S506,North,2775.0,Cancelled
268,2025-02-25,C702,S356,West,-100.0,Approved
269,2025-01-16,C693,S305,,,Cancelled
270,2025-05-15,C1526,S156,,-100.0,PENDING
271,2025-10-25,C1839,S233,North,,approved
272,2025-08-05,C2234,S220,North,,
273,invalid_date,C2051,S336,North,-100.0,approved
274,2025-12-26,C2904,S565,South,,Pending
275,2025-08-02,C2929,S538,,,Approved
276,2025-04-19,C1608,S7,,2389.0,Cancelled
277,2025-03-01,C853,S464,,,PENDING
278,2025-06-06,C318,S156,North,3042.0,Pending
279,2025-02-16,C1589,S245,West,,Cancelled
280,2025-04-20,C913,S360,,,PENDING
281,2025-02-13,C572,S326,East,-100.0,Approved
282,2025-05-27,C2760,S25,East,4577.0,PENDING
283,2025-03-16,C2650,S484,North,,approved
284,invalid_date,C2745,S232,South,,Cancelled
285,2025-09-09,C1243,S564,North,-100.0,Approved
286,2025-06-04,C1085,S116,,-100.0,Cancelled
287,2025-06-13,C308,S548,,,PENDING
288,2025-10-11,C1493,S486,West,,approved
289,2025-08-22,C1096,S466,South,-100.0,Pending
290,2025-03-10,C1020,S323,,3013.0,PENDING
291,2025-04-30,C1312,S62,East,-100.0,PENDING
292,2025-10-02,C2833,S322,West,4357.0,PENDING
293,2025-06-14,C911,S60,East,4872.0,Cancelled
294,2025-10-04,C837,S525,West,-100.0,PENDING
295,2025-06-03,C1214,S351,,,PENDING
296,2025-09-28,C2238,S301,South,4676.0,Cancelled
297,2026-01-01,C390,S61,South,,PENDING
298,2025-10-28,C2776,S11,South,1068.0,Pending
299,2025-11-22,C2861,S217,East,,Approved
299,2025-07-02,C233,S134,East,-100.0,Pending
301,2025-04-09,C1175,S460,North,-100.0,approved
302,2025-04-20,C1112,S137,,2492.0,Cancelled
303,2025-07-26,C1596,S485,South,-100.0,Pending
304,2025-01-08,C1868,S258,West,-100.0,approved
305,2025-06-19,C2252,S428,North,1254.0,approved
306,2025-08-21,C521,S589,West,2365.0,approved
307,2025-02-28,C1237,S537,West,,
308,2025-05-05,C1450,S315,West,,PENDING
309,2025-01-04,C2343,S81,South,,Pending
310,2025-08-25,C36,S169,North,-100.0,approved
311,2025-12-19,C89,S568,East,-100.0,PENDING
312,2025-02-21,C2452,S441,,,PENDING
313,2025-10-17,C498,S574,North,-100.0,approved
314,2025-03-21,C1143,S289,South,4943.0,approved
315,2025-04-26,C2488,S257,East,1010.0,Cancelled
316,invalid_date,C559,S75,North,,Cancelled
317,2025-07-07,C1357,S176,East,-100.0,Cancelled
318,2025-07-29,C791,S587,East,-100.0,PENDING
319,2025-04-18,C409,S50,East,,approved
320,2025-03-02,C2709,S368,East,-100.0,PENDING
321,2025-07-25,C664,S56,,,Cancelled
322,invalid_date,C911,S183,North,608.0,approved
323,2025-12-09,C386,S93,,-100.0,Cancelled
324,2025-04-30,C2157,S353,North,-100.0,PENDING
325,2025-08-29,C1986,S318,,-100.0,
326,2025-08-18,C2366,S252,South,3089.0,
327,2025-02-06,C787,S231,North,3026.0,PENDING
328,2025-11-27,C1356,S537,West,-100.0,
329,2025-11-23,C525,S330,West,2115.0,
330,2025-05-04,C2953,S557,,,Approved
331,2025-07-04,C2063,S537,West,-100.0,PENDING
331,2025-10-19,C1673,S157,North,1586.0,Approved
333,2025-10-30,C1066,S403,North,,PENDING
334,2025-09-08,C650,S465,South,-100.0,approved
335,2025-05-05,C1017,S516,,-100.0,Approved
336,2025-10-26,C2293,S425,South,4734.0,Approved
337,2025-12-26,C747,S59,South,-100.0,
338,2025-01-23,C1773,S226,West,-100.0,Approved
339,2025-01-07,C566,S96,North,-100.0,Approved
340,2025-05-11,C1255,S237,West,1318.0,approved
341,2025-05-28,C1471,S334,East,,
342,2025-09-06,C1388,S490,North,,
343,2025-09-18,C282,S521,West,-100.0,approved
344,2025-01-28,C1609,S597,East,-100.0,
345,2025-05-31,C1239,S261,East,,approved
346,2025-11-30,C1161,S517,South,-100.0,PENDING
347,2025-11-02,C1595,S327,,,Cancelled
348,2025-11-17,C432,S41,North,,Cancelled
349,2025-04-07,C2637,S535,West,,approved
350,2025-09-04,C668,S397,East,2526.0,
351,2025-02-13,C2246,S451,West,4577.0,PENDING
352,2025-05-20,C601,S377,South,639.0,
353,2025-03-20,C1351,S198,West,936.0,PENDING
354,2025-11-30,C2525,S283,,-100.0,PENDING
355,2025-07-05,C2880,S508,East,953.0,
356,2025-08-18,C2257,S551,,-100.0,Approved
357,2025-01-01,C1426,S331,North,-100.0,
358,2025-01-21,C1053,S216,South,,approved
359,2025-03-10,C2062,S42,South,3853.0,Approved
360,2025-03-13,C202,S547,West,1878.0,
361,2025-02-11,C10,S98,East,-100.0,PENDING
362,invalid_date,C959,S41,South,3121.0,Cancelled
363,2025-10-06,C2039,S418,West,,Approved
364,2025-06-20,C1873,S416,South,,PENDING
365,2025-04-29,C1758,S209,North,,approved
366,2025-02-11,C2673,S404,West,,Approved
367,2025-03-10,C1372,S549,North,,
368,invalid_date,C2285,S172,North,,
369,2025-05-07,C376,S298,North,1073.0,approved
370,2025-09-03,C1937,S127,West,2158.0,Pending
371,2025-03-26,C2059,S290,North,,approved
372,2025-07-24,C2156,S385,West,4491.0,Pending
373,2025-06-22,C1772,S22,East,,Cancelled
374,2025-11-07,C1841,S496,,-100.0,Cancelled
375,2025-12-02,C1252,S222,,,Cancelled
376,2025-06-02,C423,S301,,-100.0,
377,2025-07-24,C750,S97,South,,Cancelled
378,2025-07-07,C1781,S414,North,-100.0,
379,2025-12-16,C1433,S326,,1021.0,Pending
380,2025-12-30,C1774,S53,South,2212.0,approved
381,2025-04-29,C2336,S201,West,,Approved
382,2025-01-26,C1776,S239,South,-100.0,PENDING
383,2025-03-08,C903,S455,West,2843.0,Approved
384,invalid_date,C29,S104,North,,
385,2025-03-05,C478,S369,,,PENDING
386,2025-07-09,C1393,S412,North,,PENDING
387,2025-07-01,C1634,S35,North,4183.0,approved
388,2025-08-06,C1280,S423,,4882.0,approved
389,2025-04-25,C881,S247,North,2918.0,
390,2025-12-06,C807,S50,,-100.0,PENDING
391,2025-06-06,C993,S122,South,4865.0,
392,2025-12-18,C2102,S52,West,,PENDING
393,2025-06-04,C177,S294,North,,Approved
394,2025-12-08,C2074,S161,West,,Pending
395,2025-06-20,C1922,S530,East,601.0,PENDING
396,2025-09-13,C1971,S206,West,-100.0,Approved
397,2025-08-14,C2788,S243,South,-100.0,Cancelled
398,2025-11-22,C2031,S382,South,-100.0,Approved
399,2025-08-04,C848,S441,East,-100.0,approved
400,2025-01-26,C58,S446,South,4370.0,Pending
401,2025-03-23,C2340,S328,South,2679.0,Cancelled
402,2025-12-10,C991,S403,,,
403,2025-09-24,C2467,S568,,-100.0,Cancelled
404,2025-10-03,C290,S181,North,599.0,approved
405,2025-03-07,C2272,S309,North,-100.0,Approved
406,2025-03-14,C1674,S264,West,1929.0,Pending
407,2025-05-28,C1765,S377,North,,Cancelled
408,2025-07-09,C475,S262,East,,Pending
409,invalid_date,C60,S122,,3232.0,PENDING
410,2025-11-20,C1087,S179,North,-100.0,PENDING
411,2025-02-07,C1246,S24,West,,PENDING
412,2025-10-22,C2823,S414,South,1736.0,Approved
413,2025-12-03,C637,S39,South,,Approved
414,2025-11-21,C2916,S421,East,1357.0,Cancelled
415,2025-09-25,C75,S421,South,3427.0,Pending
416,2025-09-12,C2668,S79,,854.0,
416,2025-01-15,C2267,S550,West,2158.0,approved
418,2025-08-31,C2682,S266,North,2895.0,Pending
418,2025-04-09,C2521,S227,South,-100.0,Pending
420,2025-03-17,C1491,S434,North,,PENDING
421,2025-02-07,C103,S234,,3442.0,Approved
422,2025-03-27,C117,S546,South,1106.0,
423,2025-10-28,C1693,S568,West,,
424,2025-02-09,C18,S148,,1305.0,Pending
425,2025-05-07,C2013,S489,West,-100.0,
426,2025-09-19,C2173,S120,East,-100.0,PENDING
427,2025-09-30,C2170,S399,East,,Pending
428,2025-04-24,C2152,S577,West,-100.0,Pending
429,2025-05-18,C181,S234,South,-100.0,Pending
430,2025-03-01,C2857,S296,South,3880.0,Pending
431,2025-08-28,C2870,S300,North,-100.0,Cancelled
432,2025-10-28,C1754,S462,East,1031.0,Cancelled
433,2025-11-14,C1626,S503,South,,Pending
434,2025-02-14,C2086,S382,West,3908.0,approved
435,2025-05-28,C2843,S591,East,2514.0,approved
436,2025-11-23,C1139,S23,,1177.0,Pending
437,2025-10-18,C2941,S168,South,-100.0,Approved
438,2025-07-24,C2162,S556,East,-100.0,Cancelled
439,2025-08-29,C2473,S528,East,2194.0,Approved
440,2025-06-16,C799,S280,,4256.0,approved
441,2025-08-11,C2806,S291,East,-100.0,
442,2025-10-13,C1977,S513,West,,Pending
443,2025-06-19,C2160,S233,West,-100.0,
444,2025-09-12,C2373,S282,North,,PENDING
445,2025-04-24,C1318,S273,North,-100.0,approved
446,2025-03-16,C2461,S385,North,2817.0,
447,2025-04-17,C199,S544,North,-100.0,
448,2025-12-20,C493,S195,West,1399.0,PENDING
449,2025-12-24,C1103,S156,West,,approved
450,2025-12-30,C1596,S595,East,,PENDING
451,2025-10-22,C1971,S539,North,-100.0,approved
452,2025-05-16,C2424,S508,South,-100.0,Cancelled
453,2025-02-04,C1227,S12,South,,Pending
454,2025-04-24,C1753,S80,South,-100.0,Approved
455,2025-08-18,C2582,S421,West,3204.0,Cancelled
456,2025-03-17,C44,S574,North,720.0,Cancelled
457,2025-01-17,C1165,S183,,-100.0,Approved
458,2025-06-08,C263,S319,North,1297.0,
459,2025-06-28,C2590,S328,South,-100.0,
460,2025-01-24,C977,S114,West,,
461,2025-03-12,C2952,S167,East,,Pending
462,2025-01-23,C1327,S400,East,,Approved
463,2025-10-27,C2727,S407,,,Approved
464,2025-01-05,C2325,S160,East,-100.0,
465,2025-04-08,C610,S147,,-100.0,PENDING
466,2025-11-08,C843,S514,East,-100.0,approved
467,invalid_date,C1253,S74,East,,Cancelled
468,2025-04-30,C2658,S255,,,Approved
469,2025-01-15,C75,S524,South,-100.0,Pending
470,2025-08-07,C581,S330,North,,PENDING
471,2025-08-05,C624,S329,West,-100.0,PENDING
472,2025-06-10,C2120,S548,West,1175.0,Pending
473,2025-12-27,C1309,S284,West,2482.0,Pending
474,2025-08-13,C2247,S525,East,,Pending
475,2025-01-25,C524,S511,North,,PENDING
476,2025-11-22,C1614,S308,West,,Cancelled
477,invalid_date,C2074,S127,East,,Approved
478,2025-11-20,C2399,S446,,,
479,2025-03-24,C704,S20,,-100.0,Pending
480,2025-08-02,C2217,S276,South,3315.0,PENDING
481,2025-06-27,C1912,S553,North,,approved
482,2025-08-04,C2228,S587,North,,Cancelled
483,2025-11-15,C380,S87,North,-100.0,Pending
484,2025-11-17,C2017,S562,South,-100.0,Cancelled
485,2025-11-21,C168,S214,North,1564.0,PENDING
486,2025-08-25,C2707,S80,East,,Approved
487,2025-07-04,C2625,S28,North,-100.0,PENDING
488,2025-04-15,C1344,S567,East,,Cancelled
489,2025-10-31,C1819,S30,North,,Approved
490,2025-09-12,C581,S369,South,3056.0,PENDING
491,2025-09-21,C2600,S238,,4250.0,Approved
492,2025-05-03,C373,S586,,-100.0,Approved
493,2025-07-13,C1668,S221,West,3452.0,Pending
494,2025-07-17,C2934,S232,West,,PENDING
495,2025-01-24,C1281,S589,,2973.0,Cancelled
496,2025-01-06,C2923,S392,West,2442.0,PENDING
497,2025-02-08,C1095,S97,,2063.0,Pending
498,2025-07-18,C1727,S294,North,1066.0,Pending
499,2025-02-22,C1597,S21,West,,Pending
500,2025-09-28,C1391,S501,West,-100.0,Pending
501,2025-11-04,C2656,S496,West,4105.0,Cancelled
502,2025-06-01,C1179,S140,South,,PENDING
503,2025-09-09,C267,S141,South,-100.0,Approved
504,2025-12-19,C2776,S566,South,2910.0,Cancelled
505,2025-08-28,C2351,S161,East,,PENDING
506,2025-11-12,C1456,S107,West,,
507,2025-08-13,C1345,S301,South,4262.0,approved
508,2025-09-09,C1829,S2,South,-100.0,Cancelled
509,2025-03-31,C1412,S294,South,2613.0,approved
510,2025-08-09,C1783,S360,East,-100.0,
511,2025-01-05,C941,S13,North,-100.0,Pending
512,2025-02-23,C1984,S48,,-100.0,
513,2025-01-18,C2666,S577,West,-100.0,Pending
514,2025-08-31,C270,S12,South,-100.0,approved
515,2025-02-16,C1743,S200,East,-100.0,PENDING
516,2025-03-08,C858,S413,North,-100.0,
517,2025-08-03,C2223,S291,North,4107.0,Pending
518,2025-02-04,C2197,S219,North,-100.0,Approved
519,2025-07-09,C747,S313,West,-100.0,Cancelled
520,2025-06-23,C1671,S492,West,3684.0,Pending
521,2025-12-06,C2567,S107,West,2175.0,approved
522,2025-04-30,C255,S557,South,3686.0,Pending
523,2025-07-02,C1002,S79,West,-100.0,Cancelled
524,2025-08-02,C1188,S585,,-100.0,PENDING
525,2025-07-31,C1969,S426,West,-100.0,Cancelled
526,2025-04-03,C2354,S471,West,3203.0,
527,2025-01-18,C2582,S250,,,
528,2025-02-02,C740,S248,West,-100.0,Cancelled
529,2025-01-13,C2768,S430,North,,Approved
530,2025-06-23,C1913,S289,North,,Approved
531,2025-02-12,C393,S389,,1161.0,Approved
532,2025-09-10,C1012,S492,East,1906.0,Pending
533,2025-01-03,C335,S310,South,-100.0,Approved
534,2025-04-24,C7,S580,,,Pending
535,2025-10-19,C2280,S562,,,Cancelled
536,2025-10-21,C751,S343,West,,
537,2025-12-30,C251,S147,East,570.0,Pending
538,2025-12-18,C707,S305,South,,Pending
539,2025-06-19,C738,S217,East,-100.0,Pending
540,2025-05-30,C2684,S314,North,3069.0,approved
541,2025-12-16,C978,S371,East,-100.0,
542,2025-05-06,C254,S552,South,1087.0,approved
543,invalid_date,C2369,S596,North,711.0,Pending
544,2025-07-24,C1454,S520,East,1502.0,Approved
545,2025-07-26,C51,S478,South,,
546,2025-03-15,C1847,S568,North,-100.0,Pending
547,2025-09-17,C1433,S219,East,-100.0,Pending
548,2025-11-14,C491,S568,South,-100.0,approved
549,2025-04-09,C599,S555,East,2638.0,Pending
550,2025-11-05,C2870,S75,North,-100.0,Approved
551,2025-09-18,C340,S219,East,-100.0,Cancelled
552,2025-06-20,C329,S481,South,1908.0,Pending
553,2025-07-24,C2267,S413,North,,
554,2025-09-10,C2821,S597,North,-100.0,PENDING
555,2025-06-06,C623,S390,,660.0,approved
556,2025-01-03,C2134,S530,North,3328.0,Cancelled
557,2025-09-29,C255,S597,South,3361.0,
558,2025-01-27,C2737,S137,,-100.0,PENDING
559,2025-01-28,C342,S500,North,-100.0,PENDING
