customer_id,customer_name,customer_type,city,state,loyalty_tier
C4299,Customer_C4299,Wholesale,Kolkata,West Bengal,GOLD
C2768,Customer_C2768,Wholesale,Bangalore,Delhi,GOLD
C3825,Customer_C3825,Nan,Nan,Karnataka,NAN
C2421,Customer_C2421,Nan,Kolkata,Maharashtra,SILVER
C2275,Customer_C2275,Retail,Bangalore,Karnataka,BRONZE
C4196,Customer_C4196,Nan,Delhi,Maharashtra,NAN
C2024,Customer_C2024,Retail,Kolkata,Delhi,BRONZE
C2085,Customer_C2085,Retail,Kolkata,Delhi,SILVER
C4747,Customer_C4747,Nan,Kolkata,Delhi,SILVER
C2263,Customer_C2263,Nan,Mumbai,Delhi,GOLD
C3566,Customer_C3566,Wholesale,Bangalore,Delhi,SILVER
C2030,Customer_C2030,Nan,Kolkata,Maharashtra,BRONZE
C3331,Customer_C3331,Retail,Bangalore,Delhi,GOLD
C3779,Customer_C3779,Nan,Kolkata,West Bengal,BRONZE
C2526,Customer_C2526,Retail,Nan,Karnataka,SILVER
C4825,Customer_C4825,Wholesale,Kolkata,West Bengal,GOLD
C4100,Customer_C4100,Wholesale,Delhi,Delhi,SILVER
C5965,Customer_C5965,Wholesale,Bangalore,West Bengal,NAN
C5778,Customer_C5778,Wholesale,Nan,Karnataka,BRONZE
C1717,Customer_C1717,Wholesale,Delhi,Delhi,BRONZE
C4761,Customer_C4761,Retail,Mumbai,Karnataka,NAN
C4967,Customer_C4967,Nan,Bangalore,Delhi,GOLD
C1457,Customer_C1457,Nan,Delhi,Delhi,SILVER
C3408,Customer_C3408,Nan,Mumbai,Karnataka,NAN
C1806,Customer_C1806,Nan,Bangalore,West Bengal,GOLD
C2628,Customer_C2628,Wholesale,Bangalore,Karnataka,NAN
C4728,Customer_C4728,Nan,Nan,West Bengal,SILVER
C4203,Customer_C4203,Wholesale,Delhi,Karnataka,BRONZE
C3109,Customer_C3109,Nan,Mumbai,Delhi,GOLD
C5192,Customer_C5192,Nan,Nan,Maharashtra,SILVER
C1556,Customer_C1556,Retail,Delhi,West Bengal,BRONZE
C1237,Customer_C1237,Wholesale,Kolkata,West Bengal,BRONZE
C5268,Customer_C5268,Nan,Nan,West Bengal,GOLD
C5714,Customer_C5714,Nan,Mumbai,Karnataka,GOLD
C131,Customer_C131,Retail,Kolkata,West Bengal,GOLD
C5136,Customer_C5136,Wholesale,Nan,Maharashtra,GOLD
C3332,Customer_C3332,Retail,Delhi,Maharashtra,NAN
C2647,Customer_C2647,Wholesale,Nan,West Bengal,NAN
C343,Customer_C343,Wholesale,Mumbai,West Bengal,NAN
C1798,Customer_C1798,Retail,Mumbai,Karnataka,NAN
C4564,Customer_C4564,Nan,Delhi,Delhi,SILVER
C1189,Customer_C1189,Retail,Nan,West Bengal,SILVER
C5916,Customer_C5916,Wholesale,Kolkata,Maharashtra,NAN
C4774,Customer_C4774,Wholesale,Bangalore,Delhi,SILVER
C2143,Customer_C2143,Nan,Bangalore,West Bengal,BRONZE
C3985,Customer_C3985,Nan,Mumbai,Maharashtra,SILVER
C4725,Customer_C4725,Retail,Nan,Karnataka,SILVER
C3203,Customer_C3203,Nan,Kolkata,Maharashtra,GOLD
C4848,Customer_C4848,Nan,Bangalore,Karnataka,GOLD
C5976,Customer_C5976,Nan,Nan,Delhi,NAN
C5805,Customer_C5805,Wholesale,Delhi,Karnataka,SILVER
C4946,Customer_C4946,Wholesale,Kolkata,Karnataka,GOLD
C2502,Customer_C2502,Wholesale,Nan,Karnataka,GOLD
C4876,Customer_C4876,Retail,Delhi,West Bengal,BRONZE
C947,Customer_C947,Wholesale,Mumbai,West Bengal,GOLD
C427,Customer_C427,Wholesale,Nan,Delhi,BRONZE
C3312,Customer_C3312,Retail,Bangalore,West Bengal,NAN
C2321,Customer_C2321,Nan,Kolkata,Karnataka,GOLD
C5099,Customer_C5099,Wholesale,Delhi,Delhi,BRONZE
C103,Customer_C103,Nan,Kolkata,Karnataka,SILVER
C3279,Customer_C3279,Nan,Nan,Karnataka,BRONZE
C4089,Customer_C4089,Retail,Bangalore,Maharashtra,GOLD
C3500,Customer_C3500,Retail,Kolkata,Maharashtra,SILVER
C918,Customer_C918,Nan,Mumbai,Delhi,SILVER
C4975,Customer_C4975,Nan,Mumbai,West Bengal,BRONZE
C4701,Customer_C4701,Retail,Delhi,Karnataka,GOLD
C308,Customer_C308,Nan,Delhi,Delhi,GOLD
C3637,Customer_C3637,Wholesale,Bangalore,Maharashtra,NAN
C607,Customer_C607,Nan,Delhi,Maharashtra,SILVER
C4624,Customer_C4624,Wholesale,Nan,West Bengal,SILVER
C3074,Customer_C3074,Wholesale,Mumbai,Maharashtra,GOLD
C1339,Customer_C1339,Wholesale,Nan,Delhi,GOLD
C1162,Customer_C1162,Wholesale,Mumbai,West Bengal,GOLD
C1374,Customer_C1374,Retail,Kolkata,Karnataka,SILVER
C5084,Customer_C5084,Retail,Nan,West Bengal,SILVER
C2724,Customer_C2724,Retail,Mumbai,Maharashtra,GOLD
C3602,Customer_C3602,Nan,Mumbai,Delhi,NAN
C997,Customer_C997,Wholesale,Mumbai,Maharashtra,BRONZE
C5834,Customer_C5834,Wholesale,Kolkata,Maharashtra,GOLD
C1178,Customer_C1178,Retail,Bangalore,West Bengal,BRONZE
C229,Customer_C229,Wholesale,Bangalore,Karnataka,NAN
C1678,Customer_C1678,Nan,Mumbai,Delhi,SILVER
C5995,Customer_C5995,Retail,Nan,West Bengal,GOLD
C5584,Customer_C5584,Wholesale,Kolkata,Delhi,NAN
C2796,Customer_C2796,Nan,Delhi,Maharashtra,SILVER
C5078,Customer_C5078,Retail,Mumbai,Karnataka,SILVER
C4604,Customer_C4604,Wholesale,Mumbai,Maharashtra,BRONZE
C464,Customer_C464,Wholesale,Delhi,Karnataka,SILVER
C2397,Customer_C2397,Nan,Kolkata,Maharashtra,GOLD
C124,Customer_C124,Wholesale,Kolkata,Delhi,GOLD
C1477,Customer_C1477,Nan,Mumbai,West Bengal,GOLD
C2304,Customer_C2304,Wholesale,Kolkata,Karnataka,NAN
C936,Customer_C936,Wholesale,Delhi,Karnataka,NAN
C4277,Customer_C4277,Retail,Bangalore,West Bengal,SILVER
C5269,Customer_C5269,Nan,Nan,Delhi,GOLD
C3879,Customer_C3879,Retail,Kolkata,West Bengal,GOLD
C1128,Customer_C1128,Retail,Kolkata,Delhi,GOLD
C3459,Customer_C3459,Nan,Mumbai,Maharashtra,SILVER
C2708,Customer_C2708,Nan,Nan,Maharashtra,BRONZE
C5770,Customer_C5770,Nan,Bangalore,Karnataka,SILVER
C3018,Customer_C3018,Retail,Bangalore,West Bengal,SILVER
C3402,Customer_C3402,Wholesale,Kolkata,Maharashtra,GOLD
C3320,Customer_C3320,Retail,Kolkata,Maharashtra,BRONZE
C1619,Customer_C1619,Retail,Delhi,Maharashtra,SILVER
C800,Customer_C800,Retail,Nan,Delhi,SILVER
C2107,Customer_C2107,Nan,Delhi,Karnataka,BRONZE
C2230,Customer_C2230,Wholesale,Delhi,West Bengal,SILVER
C1696,Customer_C1696,Retail,Nan,Karnataka,SILVER
C2779,Customer_C2779,Nan,Bangalore,Maharashtra,NAN
C2943,Customer_C2943,Nan,Kolkata,Karnataka,GOLD
C3833,Customer_C3833,Wholesale,Delhi,Delhi,SILVER
C3485,Customer_C3485,Nan,Mumbai,Maharashtra,NAN
C4325,Customer_C4325,Nan,Kolkata,West Bengal,NAN
C4197,Customer_C4197,Nan,Mumbai,Maharashtra,NAN
C3717,Customer_C3717,Retail,Mumbai,Maharashtra,BRONZE
C2690,Customer_C2690,Retail,Mumbai,West Bengal,BRONZE
C1665,Customer_C1665,Nan,Delhi,Maharashtra,NAN
C1949,Customer_C1949,Wholesale,Kolkata,Maharashtra,GOLD
C3083,Customer_C3083,Wholesale,Delhi,Karnataka,GOLD
C2023,Customer_C2023,Nan,Delhi,Karnataka,SILVER
C2752,Customer_C2752,Nan,Delhi,Karnataka,GOLD
C1030,Customer_C1030,Wholesale,Delhi,Maharashtra,SILVER
C1922,Customer_C1922,Nan,Kolkata,West Bengal,SILVER
C2342,Customer_C2342,Wholesale,Nan,West Bengal,SILVER
C1570,Customer_C1570,Wholesale,Delhi,Maharashtra,GOLD
C4969,Customer_C4969,Nan,Kolkata,Maharashtra,NAN
C3528,Customer_C3528,Retail,Mumbai,Delhi,SILVER
C299,Customer_C299,Nan,Delhi,West Bengal,GOLD
C4058,Customer_C4058,Wholesale,Nan,Maharashtra,GOLD
C3064,Customer_C3064,Retail,Kolkata,Delhi,SILVER
C3100,Customer_C3100,Wholesale,Kolkata,Karnataka,GOLD
C5322,Customer_C5322,Nan,Bangalore,West Bengal,NAN
C3896,Customer_C3896,Retail,Mumbai,Delhi,SILVER
C3868,Customer_C3868,Nan,Delhi,West Bengal,NAN
C3426,Customer_C3426,Nan,Kolkata,West Bengal,GOLD
C2071,Customer_C2071,Retail,Kolkata,West Bengal,BRONZE
C4906,Customer_C4906,Wholesale,Kolkata,Karnataka,BRONZE
C5124,Customer_C5124,Wholesale,Nan,Karnataka,SILVER
C5667,Customer_C5667,Nan,Kolkata,West Bengal,BRONZE
C817,Customer_C817,Wholesale,Bangalore,Karnataka,SILVER
C1638,Customer_C1638,Retail,Bangalore,Karnataka,SILVER
C1461,Customer_C1461,Wholesale,Mumbai,Delhi,NAN
C1454,Customer_C1454,Wholesale,Mumbai,Maharashtra,GOLD
C191,Customer_C191,Wholesale,Mumbai,Delhi,SILVER
C387,Customer_C387,Nan,Kolkata,Karnataka,SILVER
C2740,Customer_C2740,Wholesale,Bangalore,Delhi,GOLD
C2130,Customer_C2130,Nan,Kolkata,Karnataka,SILVER
C5702,Customer_C5702,Nan,Mumbai,Maharashtra,SILVER
C1427,Customer_C1427,Wholesale,Kolkata,Maharashtra,BRONZE
C1363,Customer_C1363,Nan,Bangalore,Maharashtra,SILVER
C3900,Customer_C3900,Wholesale,Delhi,Karnataka,GOLD
C4140,Customer_C4140,Nan,Bangalore,West Bengal,GOLD
C1211,Customer_C1211,Wholesale,Nan,Delhi,GOLD
C5571,Customer_C5571,Retail,Nan,West Bengal,SILVER
C3573,Customer_C3573,Retail,Bangalore,West Bengal,SILVER
C3022,Customer_C3022,Retail,Mumbai,Delhi,SILVER
C5452,Customer_C5452,Wholesale,Delhi,Karnataka,GOLD
C577,Customer_C577,Retail,Bangalore,West Bengal,GOLD
C3617,Customer_C3617,Retail,Mumbai,Delhi,BRONZE
C2585,Customer_C2585,Wholesale,Kolkata,Maharashtra,SILVER
C3138,Customer_C3138,Wholesale,Mumbai,West Bengal,NAN
C2800,Customer_C2800,Nan,Mumbai,West Bengal,GOLD
C2430,Customer_C2430,Nan,Mumbai,Maharashtra,SILVER
C689,Customer_C689,Wholesale,Kolkata,West Bengal,NAN
C5835,Customer_C5835,Retail,Bangalore,Maharashtra,SILVER
C953,Customer_C953,Wholesale,Kolkata,West Bengal,BRONZE
C3341,Customer_C3341,Wholesale,Mumbai,West Bengal,SILVER
C2883,Customer_C2883,Wholesale,Bangalore,Maharashtra,BRONZE
C1468,Customer_C1468,Nan,Bangalore,Delhi,GOLD
C3530,Customer_C3530,Retail,Nan,Maharashtra,SILVER
C2662,Customer_C2662,Wholesale,Bangalore,Maharashtra,NAN
C748,Customer_C748,Retail,Bangalore,Karnataka,SILVER
C4915,Customer_C4915,Retail,Nan,Delhi,GOLD
C1538,Customer_C1538,Wholesale,Kolkata,Karnataka,BRONZE
C3439,Customer_C3439,Retail,Nan,Delhi,GOLD
C3690,Customer_C3690,Wholesale,Delhi,West Bengal,SILVER
C3910,Customer_C3910,Wholesale,Bangalore,Maharashtra,SILVER
C2654,Customer_C2654,Nan,Bangalore,West Bengal,NAN
C1455,Customer_C1455,Retail,Mumbai,Maharashtra,BRONZE
C3152,Customer_C3152,Wholesale,Bangalore,Delhi,GOLD
C2295,Customer_C2295,Nan,Kolkata,Delhi,SILVER
C5217,Customer_C5217,Retail,Mumbai,Delhi,SILVER
C4049,Customer_C4049,Retail,Bangalore,Delhi,NAN
C330,Customer_C330,Retail,Delhi,Karnataka,GOLD
C380,Customer_C380,Nan,Mumbai,West Bengal,NAN
C970,Customer_C970,Nan,Mumbai,West Bengal,NAN
C1701,Customer_C1701,Nan,Delhi,West Bengal,SILVER
C2967,Customer_C2967,Retail,Mumbai,West Bengal,NAN
C3510,Customer_C3510,Wholesale,Kolkata,Maharashtra,GOLD
C2371,Customer_C2371,Retail,Nan,Delhi,GOLD
C2428,Customer_C2428,Wholesale,Mumbai,Maharashtra,BRONZE
C2890,Customer_C2890,Nan,Mumbai,Delhi,GOLD
C917,Customer_C917,Wholesale,Delhi,Karnataka,GOLD
C150,Customer_C150,Retail,Mumbai,Delhi,GOLD
C3442,Customer_C3442,Wholesale,Delhi,West Bengal,SILVER
C2770,Customer_C2770,Wholesale,Delhi,West Bengal,SILVER
C561,Customer_C561,Wholesale,Bangalore,West Bengal,SILVER
C4191,Customer_C4191,Wholesale,Delhi,Maharashtra,GOLD
C4504,Customer_C4504,Retail,Delhi,Delhi,SILVER
C1131,Customer_C1131,Nan,Kolkata,Maharashtra,SILVER
C465,Customer_C465,Wholesale,Nan,Delhi,NAN
C4276,Customer_C4276,Retail,Delhi,Maharashtra,BRONZE
C764,Customer_C764,Retail,Delhi,Delhi,GOLD
C1439,Customer_C1439,Retail,Kolkata,Delhi,NAN
C5958,Customer_C5958,Wholesale,Bangalore,West Bengal,SILVER
C5211,Customer_C5211,Retail,Delhi,Maharashtra,SILVER
C2255,Customer_C2255,Nan,Nan,West Bengal,SILVER
C4195,Customer_C4195,Wholesale,Nan,Delhi,BRONZE
C5806,Customer_C5806,Retail,Mumbai,West Bengal,GOLD
C2233,Customer_C2233,Nan,Bangalore,Maharashtra,BRONZE
C4586,Customer_C4586,Retail,Kolkata,Maharashtra,SILVER
C4070,Customer_C4070,Retail,Nan,Maharashtra,SILVER
C50,Customer_C50,Retail,Nan,Delhi,GOLD
C4156,Customer_C4156,Wholesale,Nan,Delhi,SILVER
C4501,Customer_C4501,Retail,Kolkata,Delhi,SILVER
C5064,Customer_C5064,Wholesale,Kolkata,West Bengal,SILVER
C1529,Customer_C1529,Retail,Nan,West Bengal,SILVER
C3646,Customer_C3646,Wholesale,Bangalore,West Bengal,GOLD
C4716,Customer_C4716,Retail,Nan,Maharashtra,GOLD
C405,Customer_C405,Wholesale,Nan,Maharashtra,SILVER
C2127,Customer_C2127,Wholesale,Bangalore,Karnataka,SILVER
C3736,Customer_C3736,Retail,Bangalore,West Bengal,SILVER
C919,Customer_C919,Nan,Delhi,Karnataka,NAN
C4267,Customer_C4267,Retail,Kolkata,Maharashtra,NAN
C2937,Customer_C2937,Nan,Mumbai,Delhi,NAN
C4428,Customer_C4428,Retail,Delhi,Maharashtra,BRONZE
C3923,Customer_C3923,Wholesale,Delhi,Maharashtra,SILVER
C2445,Customer_C2445,Nan,Kolkata,Delhi,SILVER
C2831,Customer_C2831,Wholesale,Kolkata,Maharashtra,GOLD
C3805,Customer_C3805,Nan,Bangalore,Karnataka,NAN
C5058,Customer_C5058,Retail,Bangalore,Karnataka,SILVER
C2294,Customer_C2294,Nan,Mumbai,Karnataka,GOLD
C4047,Customer_C4047,Wholesale,Delhi,West Bengal,GOLD
C633,Customer_C633,Wholesale,Bangalore,Maharashtra,NAN
C2243,Customer_C2243,Wholesale,Bangalore,West Bengal,GOLD
C3106,Customer_C3106,Wholesale,Delhi,Maharashtra,NAN
C4760,Customer_C4760,Nan,Nan,Maharashtra,NAN
C1902,Customer_C1902,Nan,Delhi,Karnataka,NAN
C5650,Customer_C5650,Retail,Mumbai,Delhi,SILVER
C4862,Customer_C4862,Wholesale,Mumbai,Karnataka,SILVER
C1533,Customer_C1533,Nan,Nan,Karnataka,SILVER
C5216,Customer_C5216,Retail,Bangalore,Delhi,BRONZE
C1577,Customer_C1577,Nan,Bangalore,West Bengal,SILVER
C2478,Customer_C2478,Wholesale,Delhi,West Bengal,SILVER
C5130,Customer_C5130,Retail,Kolkata,Maharashtra,GOLD
C1509,Customer_C1509,Wholesale,Kolkata,Delhi,BRONZE
C5758,Customer_C5758,Wholesale,Mumbai,Delhi,BRONZE
C3241,Customer_C3241,Nan,Mumbai,West Bengal,GOLD
C2484,Customer_C2484,Nan,Kolkata,Karnataka,BRONZE
C4106,Customer_C4106,Nan,Nan,Delhi,NAN
C4619,Customer_C4619,Retail,Nan,Maharashtra,BRONZE
C354,Customer_C354,Wholesale,Mumbai,West Bengal,BRONZE
C1218,Customer_C1218,Wholesale,Kolkata,Karnataka,SILVER
C1428,Customer_C1428,Nan,Kolkata,Delhi,SILVER
C5692,Customer_C5692,Retail,Nan,West Bengal,BRONZE
C5980,Customer_C5980,Retail,Nan,Delhi,GOLD
C1257,Customer_C1257,Nan,Nan,Maharashtra,GOLD
C1503,Customer_C1503,Retail,Kolkata,West Bengal,NAN
C2198,Customer_C2198,Nan,Mumbai,Karnataka,SILVER
C1460,Customer_C1460,Retail,Mumbai,West Bengal,BRONZE
C5514,Customer_C5514,Nan,Nan,Delhi,SILVER
C3454,Customer_C3454,Nan,Bangalore,West Bengal,SILVER
C5439,Customer_C5439,Wholesale,Bangalore,Karnataka,GOLD
C406,Customer_C406,Retail,Mumbai,Karnataka,SILVER
C4978,Customer_C4978,Retail,Mumbai,Delhi,SILVER
C3087,Customer_C3087,Retail,Delhi,West Bengal,SILVER
C5115,Customer_C5115,Retail,Kolkata,Delhi,NAN
C4988,Customer_C4988,Retail,Delhi,Maharashtra,BRONZE
C4976,Customer_C4976,Wholesale,Mumbai,Karnataka,GOLD
C5766,Customer_C5766,Wholesale,Kolkata,West Bengal,NAN
C5621,Customer_C5621,Nan,Bangalore,Karnataka,GOLD
C3778,Customer_C3778,Wholesale,Kolkata,Karnataka,SILVER
C440,Customer_C440,Wholesale,Nan,West Bengal,GOLD
C1485,Customer_C1485,Wholesale,Delhi,West Bengal,SILVER
C5724,Customer_C5724,Wholesale,Mumbai,West Bengal,NAN
C4972,Customer_C4972,Retail,Mumbai,Delhi,GOLD
C5386,Customer_C5386,Nan,Bangalore,West Bengal,GOLD
C908,Customer_C908,Retail,Bangalore,Karnataka,SILVER
C5869,Customer_C5869,Retail,Nan,Maharashtra,SILVER
C3012,Customer_C3012,Nan,Mumbai,Maharashtra,BRONZE
C533,Customer_C533,Wholesale,Delhi,Delhi,SILVER
C3651,Customer_C3651,Retail,Nan,Delhi,SILVER
C857,Customer_C857,Nan,Delhi,Karnataka,GOLD
C578,Customer_C578,Retail,Mumbai,Maharashtra,BRONZE
C2019,Customer_C2019,Nan,Delhi,Maharashtra,SILVER
C2602,Customer_C2602,Wholesale,Kolkata,Maharashtra,GOLD
C1315,Customer_C1315,Retail,Kolkata,Maharashtra,SILVER
C2199,Customer_C2199,Wholesale,Kolkata,West Bengal,SILVER
C2619,Customer_C2619,Wholesale,Mumbai,Delhi,NAN
C1316,Customer_C1316,Retail,Delhi,West Bengal,SILVER
C1551,Customer_C1551,Retail,Delhi,West Bengal,BRONZE
C5644,Customer_C5644,Retail,Mumbai,Maharashtra,GOLD
C3902,Customer_C3902,Nan,Kolkata,West Bengal,NAN
C2552,Customer_C2552,Retail,Nan,Karnataka,GOLD
C1700,Customer_C1700,Retail,Nan,Delhi,NAN
C2750,Customer_C2750,Retail,Kolkata,Karnataka,GOLD
C1452,Customer_C1452,Retail,Mumbai,West Bengal,SILVER
C5854,Customer_C5854,Nan,Mumbai,West Bengal,BRONZE
C1650,Customer_C1650,Retail,Delhi,Karnataka,NAN
C2884,Customer_C2884,Nan,Nan,West Bengal,NAN
