payment_id,order_id,payment_method,payment_status,payment_amount,payment_date
P107,8379,COD,FAILED,2003.0,2025-12-23
P108,4293,CARD,FAILED,665.0,2026-01-10
P110,3910,COD,SUCCESS,4115.0,2026-01-07
P112,3683,UPI,SUCCESS,1160.0,2025-12-16
P113,1341,UPI,FAILED,3034.0,2026-01-03
P114,8788,UPI,FAILED,3949.0,2025-12-17
P116,7674,UPI,SUCCESS,2124.0,2026-01-09
P117,8865,COD,FAILED,1977.0,2026-01-13
P118,5705,UPI,SUCCESS,3181.0,2025-12-26
P119,8930,COD,FAILED,1636.0,2026-01-02
P120,8651,CARD,FAILED,2477.0,2026-01-12
P121,8592,UPI,FAILED,4690.0,2025-12-25
P122,1768,UPI,FAILED,1529.0,2026-01-07
P123,2726,UPI,SUCCESS,4255.0,2026-01-11
P127,9348,UPI,FAILED,4948.0,2026-01-08
P130,5867,CARD,FAILED,606.0,2026-01-13
P134,8785,CARD,FAILED,1441.0,2025-12-23
P135,3838,CARD,SUCCESS,652.0,2025-12-21
P137,7838,COD,FAILED,1140.0,2026-01-12
P138,3818,UPI,SUCCESS,575.0,2026-01-01
P139,1333,UPI,SUCCESS,1560.0,2025-12-18
P143,6795,UPI,FAILED,4364.0,2025-12-31
P144,141,UPI,SUCCESS,2211.0,2026-01-12
P148,2572,COD,SUCCESS,1998.0,2025-12-16
P149,4409,COD,FAILED,558.0,2026-01-06
P152,3941,CARD,FAILED,4703.0,2025-12-26
P153,8732,UPI,FAILED,4741.0,2026-01-12
P154,9881,UPI,FAILED,2745.0,2026-01-05
P155,8162,UPI,FAILED,2678.0,2026-01-03
P156,1973,COD,SUCCESS,4107.0,2025-12-19
P158,8366,CARD,FAILED,4274.0,2026-01-06
P161,1304,COD,FAILED,1736.0,2025-12-25
P162,5778,CARD,FAILED,4294.0,2026-01-06
P165,4399,CARD,SUCCESS,3314.0,2025-12-14
P167,3915,CARD,SUCCESS,2810.0,2025-12-31
P168,8687,CARD,SUCCESS,3300.0,2025-12-16
P169,8569,UPI,FAILED,2214.0,2026-01-02
P173,6809,CARD,SUCCESS,760.0,2025-12-31
P174,8273,COD,FAILED,1086.0,2026-01-09
P175,5541,CARD,SUCCESS,1592.0,2025-12-19
P176,7504,COD,FAILED,3407.0,2025-12-26
P177,2336,UPI,SUCCESS,4745.0,2026-01-10
P178,2724,COD,FAILED,4619.0,2025-12-22
P179,8255,UPI,SUCCESS,3535.0,2025-12-28
P180,4884,UPI,FAILED,2980.0,2025-12-15
P181,2278,UPI,SUCCESS,504.0,2026-01-11
P182,4658,COD,FAILED,2932.0,2026-01-03
P183,5668,CARD,SUCCESS,2712.0,2025-12-22
P185,9247,CARD,FAILED,2253.0,2026-01-06
P186,6831,CARD,SUCCESS,571.0,2026-01-12
P188,2627,UPI,SUCCESS,845.0,2025-12-17
P189,4471,UPI,SUCCESS,978.0,2026-01-01
P191,7461,UPI,FAILED,1457.0,2025-12-16
P192,3224,COD,FAILED,660.0,2025-12-20
P193,4093,UPI,SUCCESS,2703.0,2026-01-06
P195,1847,COD,FAILED,3952.0,2025-12-15
P196,8966,COD,SUCCESS,2759.0,2025-12-19
P197,4519,COD,SUCCESS,1446.0,2025-12-22
P199,8881,UPI,FAILED,2344.0,2026-01-04
P201,6827,CARD,FAILED,2231.0,2025-12-20
P202,1656,CARD,FAILED,641.0,2025-12-14
P204,8916,COD,FAILED,3477.0,2026-01-09
P205,6934,UPI,FAILED,3393.0,2025-12-20
P208,7205,COD,SUCCESS,2130.0,2025-12-22
P210,1361,COD,SUCCESS,1641.0,2025-12-16
P211,8255,UPI,SUCCESS,3130.0,2026-01-07
P213,5319,UPI,FAILED,1626.0,2025-12-30
P214,5827,CARD,FAILED,3870.0,2025-12-22
P225,1311,COD,FAILED,1036.0,2026-01-01
P226,4242,UPI,FAILED,1697.0,2025-12-14
P228,3523,UPI,SUCCESS,4083.0,2026-01-11
P229,4631,CARD,FAILED,4482.0,2025-12-19
P230,8207,UPI,FAILED,2592.0,2025-12-17
P231,5168,COD,FAILED,2016.0,2026-01-01
P233,4607,COD,SUCCESS,3942.0,2025-12-23
P234,1836,CARD,FAILED,4955.0,2025-12-15
P235,4601,CARD,FAILED,2047.0,2026-01-13
P236,4856,UPI,FAILED,2915.0,2025-12-23
P241,6788,COD,SUCCESS,1338.0,2025-12-26
P242,4600,UPI,SUCCESS,1974.0,2026-01-11
P247,5309,COD,SUCCESS,2640.0,2025-12-31
P249,9485,COD,FAILED,1608.0,2026-01-05
P253,4566,COD,FAILED,1834.0,2025-12-20
P255,3052,CARD,FAILED,2561.0,2026-01-11
P257,4904,COD,SUCCESS,2694.0,2025-12-22
P261,4226,COD,SUCCESS,4109.0,2025-12-21
P268,7245,CARD,FAILED,3312.0,2025-12-24
P271,4192,CARD,FAILED,4267.0,2025-12-25
P272,7346,CARD,FAILED,771.0,2025-12-14
P275,8022,COD,FAILED,3011.0,2025-12-22
P276,4152,CARD,SUCCESS,2868.0,2025-12-15
P277,1994,CARD,SUCCESS,924.0,2026-01-03
P282,8837,UPI,FAILED,2008.0,2025-12-31
P284,5476,CARD,SUCCESS,3415.0,2025-12-22
P286,980,CARD,FAILED,4324.0,2026-01-06
P287,548,UPI,FAILED,2666.0,2026-01-01
P291,7671,CARD,SUCCESS,963.0,2025-12-18
P295,3903,UPI,FAILED,1765.0,2026-01-03
P296,7385,UPI,SUCCESS,2050.0,2026-01-13
P298,1222,COD,SUCCESS,3257.0,2025-12-30
P302,7203,UPI,FAILED,1513.0,2026-01-06
P304,5671,CARD,SUCCESS,3358.0,2025-12-31
P305,9717,COD,SUCCESS,1994.0,2026-01-12
P306,2828,UPI,SUCCESS,4096.0,2025-12-27
P308,1269,UPI,SUCCESS,1538.0,2026-01-13
P309,3680,UPI,FAILED,812.0,2025-12-22
P310,8028,COD,SUCCESS,3084.0,2026-01-02
P313,967,COD,FAILED,537.0,2025-12-24
P315,2866,CARD,SUCCESS,1433.0,2026-01-04
P316,5409,CARD,SUCCESS,2423.0,2026-01-08
P320,9525,CARD,FAILED,4042.0,2025-12-23
P322,7115,CARD,FAILED,2631.0,2025-12-26
P324,6119,UPI,FAILED,1300.0,2026-01-04
P325,3730,UPI,FAILED,2819.0,2026-01-03
P326,8628,CARD,SUCCESS,4051.0,2025-12-26
P331,597,CARD,SUCCESS,2104.0,2026-01-07
P333,1968,CARD,SUCCESS,3304.0,2026-01-10
P334,5544,CARD,FAILED,1700.0,2026-01-09
P337,3917,CARD,FAILED,1871.0,2025-12-20
P341,6883,COD,SUCCESS,2208.0,2026-01-05
P342,8146,COD,SUCCESS,2426.0,2026-01-12
P343,8924,UPI,FAILED,4810.0,2026-01-06
P347,1144,UPI,FAILED,510.0,2025-12-15
P351,1950,UPI,SUCCESS,1480.0,2025-12-17
P352,5099,COD,SUCCESS,1884.0,2025-12-31
P353,965,UPI,SUCCESS,2794.0,2026-01-07
P354,3796,CARD,FAILED,2635.0,2025-12-28
P355,7072,COD,SUCCESS,1324.0,2026-01-03
P362,4175,CARD,SUCCESS,1249.0,2026-01-10
P363,9459,COD,SUCCESS,4946.0,2026-01-07
P365,9402,UPI,SUCCESS,1096.0,2025-12-29
P368,351,COD,SUCCESS,4702.0,2026-01-06
P369,3166,COD,FAILED,3868.0,2026-01-03
P370,1049,UPI,SUCCESS,4209.0,2025-12-22
P371,3503,CARD,SUCCESS,2376.0,2026-01-07
P372,7984,UPI,SUCCESS,2724.0,2025-12-21
P374,169,UPI,FAILED,1196.0,2026-01-10
P376,3095,COD,SUCCESS,2840.0,2025-12-21
P377,2896,CARD,SUCCESS,4409.0,2026-01-08
P382,9995,UPI,FAILED,2978.0,2025-12-18
P383,2214,UPI,FAILED,3743.0,2025-12-31
P384,1616,CARD,FAILED,4899.0,2025-12-16
P385,6428,CARD,FAILED,2682.0,2025-12-22
P389,2935,UPI,FAILED,4891.0,2026-01-01
P392,6006,CARD,SUCCESS,2252.0,2026-01-11
P393,4578,CARD,SUCCESS,947.0,2026-01-03
P394,6636,CARD,FAILED,716.0,2025-12-14
P396,4937,COD,FAILED,2290.0,2025-12-23
P399,1969,CARD,FAILED,3668.0,2025-12-16
P400,9648,COD,SUCCESS,1839.0,2026-01-01
P401,2712,CARD,FAILED,3653.0,2025-12-14
P402,3525,CARD,FAILED,3633.0,2025-12-22
P404,3706,CARD,SUCCESS,4411.0,2025-12-28
P405,4218,CARD,FAILED,3251.0,2026-01-06
P406,3332,UPI,FAILED,1317.0,2026-01-09
P407,1153,CARD,FAILED,2691.0,2025-12-30
P408,4176,COD,FAILED,4893.0,2025-12-27
P411,6493,UPI,FAILED,1305.0,2025-12-22
P414,9658,CARD,FAILED,2636.0,2026-01-13
P415,4968,UPI,FAILED,2567.0,2025-12-18
P416,6101,UPI,FAILED,2065.0,2025-12-24
P417,9012,CARD,FAILED,1189.0,2025-12-15
P418,8353,COD,FAILED,3486.0,2025-12-23
P420,5549,UPI,FAILED,2102.0,2025-12-29
P421,7730,UPI,FAILED,3653.0,2026-01-05
P422,3902,UPI,SUCCESS,4847.0,2026-01-07
P425,4795,CARD,FAILED,630.0,2026-01-12
P427,9041,COD,SUCCESS,4764.0,2025-12-29
P428,335,COD,FAILED,703.0,2026-01-07
P430,8442,COD,FAILED,3856.0,2025-12-14
P432,3954,CARD,SUCCESS,3270.0,2025-12-26
P436,9647,UPI,SUCCESS,512.0,2025-12-31
P437,9,UPI,SUCCESS,4066.0,2026-01-12
P439,3122,CARD,FAILED,2790.0,2025-12-31
P441,3505,CARD,FAILED,3210.0,2025-12-15
P443,1958,COD,FAILED,4725.0,2025-12-14
P445,8234,CARD,SUCCESS,4218.0,2025-12-24
P446,1582,COD,FAILED,3422.0,2025-12-26
P449,9694,UPI,FAILED,857.0,2025-12-23
P450,8445,COD,FAILED,3644.0,2025-12-18
P452,8724,COD,FAILED,2791.0,2025-12-15
P453,720,UPI,FAILED,2899.0,2025-12-21
P454,3586,CARD,FAILED,4651.0,2026-01-03
P456,6717,COD,SUCCESS,2108.0,2025-12-31
P457,3691,UPI,FAILED,2415.0,2026-01-04
P462,5097,CARD,SUCCESS,1095.0,2026-01-09
P463,9541,COD,SUCCESS,3877.0,2026-01-09
P465,3351,COD,SUCCESS,3202.0,2026-01-02
P469,8678,CARD,SUCCESS,4812.0,2025-12-31
P472,9187,CARD,SUCCESS,4102.0,2025-12-21
P473,3598,UPI,FAILED,3225.0,2025-12-21
P474,3631,CARD,FAILED,3289.0,2025-12-19
P475,9022,COD,FAILED,1669.0,2025-12-26
P477,3567,COD,FAILED,2211.0,2025-12-25
P478,1047,CARD,FAILED,3073.0,2026-01-11
P479,8409,UPI,SUCCESS,2374.0,2026-01-05
P482,8466,CARD,SUCCESS,2427.0,2025-12-20
P483,6267,COD,FAILED,3275.0,2026-01-11
P484,2787,COD,SUCCESS,1518.0,2025-12-22
P486,5052,CARD,SUCCESS,4060.0,2026-01-12
P487,9366,CARD,SUCCESS,1848.0,2025-12-16
P488,9687,UPI,FAILED,4235.0,2025-12-31
P490,2919,CARD,SUCCESS,3374.0,2025-12-20
P492,7964,UPI,FAILED,3255.0,2026-01-06
P493,600,UPI,FAILED,1837.0,2026-01-09
P495,3028,CARD,FAILED,2669.0,2026-01-03
P502,7593,CARD,SUCCESS,3432.0,2026-01-03
P505,4860,CARD,SUCCESS,4607.0,2025-12-20
P507,4573,UPI,FAILED,892.0,2026-01-11
P508,192,COD,SUCCESS,881.0,2025-12-25
P509,2584,UPI,FAILED,954.0,2025-12-24
P512,4330,UPI,SUCCESS,998.0,2025-12-20
P513,1784,COD,FAILED,519.0,2025-12-30
P514,8364,CARD,FAILED,3658.0,2025-12-15
P517,948,UPI,SUCCESS,688.0,2026-01-13
P519,9843,UPI,FAILED,3134.0,2025-12-28
P520,4040,COD,SUCCESS,3692.0,2026-01-11
P527,3882,CARD,FAILED,2423.0,2025-12-27
P528,7657,CARD,FAILED,1880.0,2026-01-12
P531,7920,CARD,FAILED,819.0,2026-01-04
P533,5914,COD,SUCCESS,2451.0,2025-12-28
P534,4917,COD,SUCCESS,4537.0,2026-01-05
P535,4745,UPI,FAILED,1069.0,2025-12-23
P536,7953,UPI,FAILED,2203.0,2026-01-02
P537,7744,UPI,SUCCESS,2033.0,2026-01-03
P539,2028,UPI,FAILED,4956.0,2025-12-25
P545,7798,UPI,SUCCESS,1832.0,2026-01-02
P546,1412,UPI,FAILED,4745.0,2026-01-01
P547,7004,UPI,FAILED,1575.0,2026-01-04
P553,7530,CARD,FAILED,1699.0,2025-12-28
P556,302,CARD,FAILED,3069.0,2025-12-22
P557,7526,UPI,FAILED,2423.0,2025-12-28
P558,4022,COD,FAILED,1212.0,2025-12-23
P561,2221,CARD,SUCCESS,4808.0,2026-01-11
P563,7099,UPI,SUCCESS,2588.0,2026-01-12
P564,4605,COD,FAILED,3446.0,2026-01-06
P565,3245,CARD,FAILED,2278.0,2025-12-31
P566,2925,UPI,SUCCESS,1745.0,2025-12-17
P569,7741,UPI,SUCCESS,4555.0,2025-12-29
P570,4045,COD,FAILED,4998.0,2026-01-01
P574,1405,COD,FAILED,1416.0,2026-01-02
P579,1335,COD,SUCCESS,1027.0,2026-01-05
P581,5676,COD,SUCCESS,613.0,2025-12-27
P583,2838,UPI,SUCCESS,3926.0,2026-01-12
P584,1018,CARD,FAILED,4195.0,2025-12-29
P585,1948,CARD,FAILED,2569.0,2026-01-02
P586,7166,COD,FAILED,2401.0,2026-01-03
P588,756,COD,SUCCESS,4740.0,2026-01-05
P590,4684,UPI,SUCCESS,2077.0,2026-01-01
P593,4170,CARD,SUCCESS,669.0,2026-01-01
P595,6770,CARD,FAILED,2423.0,2026-01-07
P596,2502,COD,SUCCESS,1886.0,2025-12-22
P597,7889,UPI,FAILED,2925.0,2026-01-10
P599,8356,CARD,SUCCESS,2743.0,2025-12-22
P600,9689,CARD,FAILED,4772.0,2025-12-30
P605,5830,CARD,FAILED,1121.0,2025-12-22
P606,348,COD,FAILED,4495.0,2025-12-23
P607,8609,UPI,FAILED,2775.0,2026-01-09
P610,8906,UPI,FAILED,2057.0,2025-12-21
P613,8523,COD,FAILED,3082.0,2026-01-07
P614,303,UPI,FAILED,3409.0,2026-01-11
P616,7660,COD,SUCCESS,1657.0,2025-12-23
P617,7096,COD,FAILED,2087.0,2025-12-16
P620,9535,CARD,FAILED,4151.0,2025-12-20
P621,7780,UPI,FAILED,3359.0,2026-01-02
P623,778,COD,FAILED,4620.0,2025-12-31
P626,3757,UPI,SUCCESS,2608.0,2025-12-23
P627,1049,UPI,FAILED,2551.0,2025-12-20
P628,2109,CARD,FAILED,3618.0,2026-01-06
P633,1663,COD,SUCCESS,1300.0,2026-01-13
P634,4543,CARD,SUCCESS,3235.0,2026-01-09
P635,9759,COD,SUCCESS,1719.0,2025-12-23
P638,1989,CARD,SUCCESS,1888.0,2025-12-24
P641,5819,COD,FAILED,3325.0,2025-12-22
P643,9246,COD,SUCCESS,1197.0,2026-01-12
P644,7860,CARD,SUCCESS,4111.0,2025-12-15
P645,5481,COD,SUCCESS,4267.0,2025-12-24
P646,1056,COD,SUCCESS,4349.0,2026-01-03
P647,4261,CARD,SUCCESS,870.0,2025-12-25
P649,1696,CARD,SUCCESS,4083.0,2025-12-14
P650,6799,UPI,FAILED,1831.0,2026-01-02
P654,2141,UPI,SUCCESS,871.0,2025-12-31
P656,609,COD,SUCCESS,2078.0,2025-12-27
P660,6167,CARD,SUCCESS,3905.0,2025-12-24
P665,115,UPI,FAILED,625.0,2025-12-21
P668,409,COD,SUCCESS,4988.0,2025-12-15
P669,4423,COD,SUCCESS,4227.0,2025-12-25
P670,4057,COD,FAILED,2015.0,2026-01-03
P673,4368,CARD,SUCCESS,731.0,2026-01-10
P675,5045,CARD,SUCCESS,1407.0,2025-12-26
P679,538,UPI,SUCCESS,679.0,2026-01-02
P681,8274,UPI,FAILED,2182.0,2025-12-18
P684,1882,CARD,FAILED,4176.0,2026-01-10
P685,3225,CARD,SUCCESS,3265.0,2025-12-18
P687,1642,UPI,SUCCESS,533.0,2026-01-10
P688,932,CARD,SUCCESS,1847.0,2026-01-04
P689,3807,UPI,FAILED,3137.0,2025-12-23
P690,7422,UPI,SUCCESS,3494.0,2026-01-08
P691,3333,CARD,SUCCESS,969.0,2025-12-29
P692,9360,UPI,FAILED,2278.0,2025-12-27
P693,8749,CARD,FAILED,2138.0,2025-12-28
P695,974,COD,SUCCESS,3913.0,2025-12-20
P696,5055,COD,SUCCESS,656.0,2026-01-04
P698,188,UPI,FAILED,3240.0,2026-01-02
P699,8237,UPI,FAILED,3971.0,2026-01-08
P700,9311,COD,FAILED,761.0,2026-01-08
P701,4808,CARD,FAILED,3554.0,2025-12-27
P702,2225,CARD,SUCCESS,4493.0,2025-12-27
P703,7833,CARD,SUCCESS,3807.0,2025-12-31
P704,1592,COD,FAILED,2850.0,2025-12-15
P705,9478,CARD,FAILED,4377.0,2025-12-22
P707,3347,CARD,FAILED,4958.0,2025-12-16
P708,83,COD,SUCCESS,1853.0,2025-12-20
P710,9074,COD,SUCCESS,3468.0,2026-01-02
P714,6342,COD,SUCCESS,1271.0,2026-01-07
P715,5567,UPI,FAILED,3287.0,2025-12-23
P719,8758,CARD,FAILED,2513.0,2025-12-27
P721,5774,CARD,SUCCESS,2930.0,2026-01-06
P722,3995,COD,FAILED,1145.0,2025-12-26
P723,3216,CARD,FAILED,1615.0,2026-01-05
P724,8817,UPI,FAILED,1354.0,2025-12-23
P725,5293,UPI,SUCCESS,954.0,2025-12-26
P728,8819,COD,FAILED,3104.0,2026-01-07
P730,4285,COD,SUCCESS,4321.0,2025-12-28
P733,2857,UPI,SUCCESS,3401.0,2026-01-04
P734,2558,COD,SUCCESS,4704.0,2026-01-10
P735,4554,UPI,FAILED,1812.0,2025-12-23
P736,1232,CARD,FAILED,4435.0,2025-12-30
P739,1134,COD,SUCCESS,1902.0,2025-12-26
P745,2094,UPI,FAILED,759.0,2025-12-25
P746,8758,UPI,FAILED,3455.0,2025-12-30
P747,7248,COD,FAILED,1916.0,2025-12-29
P749,7385,CARD,FAILED,3488.0,2025-12-28
P751,9678,CARD,SUCCESS,3650.0,2026-01-01
P753,3344,CARD,SUCCESS,4736.0,2026-01-01
P755,1658,UPI,SUCCESS,2057.0,2025-12-20
P758,1554,COD,FAILED,2725.0,2025-12-15
P760,3870,COD,FAILED,1395.0,2025-12-31
P761,7920,CARD,SUCCESS,2574.0,2026-01-03
P762,8692,CARD,FAILED,4406.0,2026-01-02
P763,4693,CARD,FAILED,2321.0,2026-01-04
P766,9446,CARD,FAILED,2605.0,2025-12-18
P767,2819,COD,SUCCESS,2889.0,2025-12-30
P769,5161,CARD,FAILED,2180.0,2025-12-29
P770,292,CARD,FAILED,1772.0,2026-01-05
P771,8873,UPI,SUCCESS,1180.0,2026-01-12
P772,735,COD,SUCCESS,902.0,2026-01-06
P773,742,UPI,FAILED,3908.0,2025-12-21
P778,3347,CARD,SUCCESS,974.0,2025-12-24
P784,5193,CARD,FAILED,3839.0,2026-01-04
P785,8058,COD,FAILED,4710.0,2025-12-17
P787,5206,UPI,SUCCESS,4080.0,2025-12-23
P790,633,UPI,FAILED,4773.0,2026-01-10
P792,14,COD,FAILED,884.0,2026-01-08
P793,6516,COD,FAILED,2040.0,2025-12-16
P794,2061,UPI,SUCCESS,4092.0,2025-12-22
P796,1200,COD,SUCCESS,613.0,2026-01-03
P797,9924,CARD,FAILED,3222.0,2026-01-06
P800,8518,COD,SUCCESS,1027.0,2026-01-03
P802,1356,CARD,FAILED,3489.0,2026-01-06
P803,6936,CARD,FAILED,3302.0,2025-12-15
P805,361,UPI,SUCCESS,4739.0,2025-12-18
P806,7003,CARD,SUCCESS,4201.0,2026-01-06
P810,111,UPI,SUCCESS,4717.0,2026-01-03
P812,8665,COD,FAILED,4565.0,2025-12-20
P814,5484,UPI,FAILED,1505.0,2026-01-08
P818,495,COD,FAILED,4107.0,2025-12-28
P819,8530,UPI,SUCCESS,2530.0,2025-12-18
P821,8349,UPI,FAILED,1307.0,2026-01-06
P822,6968,UPI,FAILED,2605.0,2025-12-24
P825,9047,CARD,SUCCESS,3248.0,2025-12-22
P826,5996,COD,SUCCESS,3992.0,2025-12-27
P827,3980,COD,SUCCESS,3579.0,2025-12-27
P830,7924,CARD,SUCCESS,4484.0,2025-12-21
P831,4288,COD,FAILED,4487.0,2025-12-28
P835,5167,UPI,SUCCESS,2510.0,2025-12-18
P836,9544,COD,SUCCESS,3564.0,2025-12-14
P837,8094,COD,FAILED,1100.0,2026-01-10
P839,6925,COD,FAILED,4640.0,2025-12-15
P841,8857,CARD,FAILED,4342.0,2025-12-15
P843,5971,CARD,FAILED,2749.0,2026-01-02
P845,34,CARD,SUCCESS,726.0,2025-12-16
P847,3641,CARD,SUCCESS,4400.0,2025-12-23
P849,1076,CARD,SUCCESS,3789.0,2025-12-29
P852,2808,UPI,SUCCESS,3010.0,2025-12-20
P854,1187,UPI,FAILED,2883.0,2025-12-14
P855,9033,CARD,SUCCESS,2448.0,2025-12-15
P860,7933,UPI,SUCCESS,4605.0,2025-12-24
P863,6804,COD,SUCCESS,4213.0,2026-01-12
P864,60,COD,FAILED,4124.0,2025-12-21
P865,5118,CARD,FAILED,4479.0,2026-01-10
P866,639,UPI,FAILED,2360.0,2025-12-19
P867,5478,CARD,FAILED,4606.0,2026-01-05
P868,7399,UPI,SUCCESS,4728.0,2026-01-03
P870,8031,COD,SUCCESS,3943.0,2025-12-27
P871,3381,UPI,FAILED,4313.0,2026-01-13
P874,3485,COD,SUCCESS,2174.0,2025-12-20
P876,2699,CARD,FAILED,1063.0,2026-01-06
P877,9194,COD,FAILED,2332.0,2026-01-07
P878,5971,UPI,SUCCESS,1330.0,2025-12-22
P881,3402,UPI,SUCCESS,1439.0,2025-12-27
P883,8718,UPI,FAILED,4520.0,2025-12-31
P887,653,UPI,FAILED,942.0,2026-01-08
P889,4405,CARD,SUCCESS,3924.0,2025-12-20
P893,9030,UPI,FAILED,4376.0,2025-12-18
P894,6824,COD,FAILED,4247.0,2026-01-13
P896,4015,COD,FAILED,2714.0,2025-12-29
P897,4112,UPI,SUCCESS,4375.0,2025-12-30
P898,4173,COD,SUCCESS,2802.0,2026-01-04
P900,4606,CARD,SUCCESS,1696.0,2025-12-22
P901,3035,COD,SUCCESS,3754.0,2026-01-03
P902,8418,COD,FAILED,2126.0,2025-12-21
P903,2609,UPI,SUCCESS,3480.0,2025-12-27
P904,1874,COD,SUCCESS,2394.0,2025-12-27
P905,1236,COD,SUCCESS,3773.0,2025-12-26
P907,5,UPI,FAILED,1454.0,2025-12-18
P908,5860,UPI,FAILED,1772.0,2025-12-20
P910,3766,UPI,FAILED,1142.0,2025-12-16
P911,4028,CARD,SUCCESS,4136.0,2026-01-12
P912,7660,CARD,FAILED,917.0,2026-01-04
P914,2367,CARD,FAILED,3334.0,2026-01-09
P915,7697,CARD,SUCCESS,1013.0,2025-12-27
P918,8861,UPI,FAILED,1762.0,2026-01-08
P926,9462,UPI,FAILED,1303.0,2026-01-05
P931,3622,COD,SUCCESS,2367.0,2026-01-13
P934,7861,UPI,FAILED,1265.0,2026-01-02
P938,4519,COD,SUCCESS,2124.0,2025-12-31
P941,1255,CARD,SUCCESS,2730.0,2025-12-22
P942,1719,UPI,FAILED,3804.0,2025-12-14
P944,4685,UPI,FAILED,4480.0,2025-12-14
P945,4237,CARD,SUCCESS,2766.0,2025-12-16
P948,8847,COD,FAILED,1809.0,2025-12-16
P949,2563,CARD,SUCCESS,2683.0,2025-12-28
P952,373,UPI,FAILED,4375.0,2026-01-08
P953,8971,UPI,FAILED,3931.0,2026-01-07
P954,6678,UPI,SUCCESS,4695.0,2025-12-18
P955,393,COD,FAILED,1229.0,2025-12-17
P960,1041,COD,FAILED,3240.0,2025-12-29
P961,1289,COD,SUCCESS,3893.0,2025-12-20
P962,9850,COD,SUCCESS,1803.0,2025-12-25
P963,6873,UPI,SUCCESS,4485.0,2025-12-29
P964,69,COD,FAILED,1349.0,2026-01-04
P968,8825,COD,FAILED,3204.0,2025-12-20
P970,742,CARD,SUCCESS,1661.0,2026-01-05
P972,4341,COD,FAILED,3620.0,2026-01-03
P975,4920,CARD,SUCCESS,3047.0,2025-12-14
P977,2936,COD,FAILED,3974.0,2025-12-23
P978,7676,UPI,SUCCESS,2605.0,2025-12-24
P980,6918,UPI,SUCCESS,2065.0,2025-12-29
P981,6927,UPI,SUCCESS,2857.0,2026-01-06
P982,8079,UPI,FAILED,2729.0,2025-12-14
P984,392,COD,FAILED,1424.0,2025-12-17
P986,3161,UPI,SUCCESS,2944.0,2025-12-29
P990,4243,UPI,FAILED,4838.0,2026-01-03
P991,5202,COD,FAILED,2367.0,2025-12-16
P992,3296,COD,FAILED,3151.0,2025-12-25
P994,4023,CARD,SUCCESS,3139.0,2025-12-21
P996,4112,CARD,SUCCESS,2542.0,2025-12-30
P998,5871,UPI,SUCCESS,3814.0,2025-12-30
P1003,7545,COD,SUCCESS,2580.0,2025-12-17
P1005,1252,UPI,FAILED,4266.0,2025-12-20
P1006,5643,CARD,FAILED,4368.0,2026-01-09
P1007,6732,CARD,SUCCESS,537.0,2026-01-10
